Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,23.312500,23.390625,23.187500,23.265625,14.879415,15200
1998-12-23,23.343750,23.750000,23.312500,23.750000,15.189188,67800
1998-12-24,23.812500,23.812500,23.593750,23.625000,15.109259,12300
1998-12-28,23.750000,23.750000,23.343750,23.500000,15.029314,13500
1998-12-29,23.562500,23.734375,23.343750,23.734375,15.179210,22000
1998-12-30,23.718750,23.718750,23.359375,23.375000,14.949375,21800
1998-12-31,23.343750,23.343750,23.218750,23.343750,14.929390,13000
1999-01-04,23.281250,23.750000,23.281250,23.328125,14.919394,28600
1999-01-05,23.468750,23.468750,23.171875,23.203125,14.839454,42700
1999-01-06,23.468750,24.000000,23.312500,23.968750,15.329102,56400
1999-01-07,23.968750,23.984375,23.578125,23.859375,15.259155,72600
1999-01-08,24.000000,24.562500,23.375000,23.968750,15.329102,421100
1999-01-11,23.750000,23.781250,23.437500,23.515625,15.039307,35000
1999-01-12,23.500000,23.593750,23.125000,23.156250,14.809475,89200
1999-01-13,22.750000,23.187500,22.687500,22.812500,14.589627,42400
1999-01-14,22.750000,22.875000,22.375000,22.375000,14.309824,70000
1999-01-15,22.562500,22.750000,22.453125,22.718750,14.529670,10700
1999-01-19,22.812500,22.812500,22.531250,22.718750,14.529670,12800
1999-01-20,22.593750,22.812500,22.515625,22.531250,14.409748,15800
1999-01-21,22.531250,22.906250,22.500000,22.718750,14.529670,23900
1999-01-22,22.750000,22.812500,22.562500,22.593750,14.449723,19300
1999-01-25,22.687500,22.687500,22.375000,22.562500,14.429738,18200
1999-01-26,22.593750,22.593750,22.156250,22.343750,14.289835,25700
1999-01-27,22.375000,22.375000,21.875000,21.937500,14.030024,37100
1999-01-28,22.000000,22.000000,21.625000,21.812500,13.950085,30800
1999-01-29,21.687500,21.812500,21.437500,21.812500,13.950085,18600
1999-02-01,21.812500,21.875000,21.593750,21.593750,13.810180,23100
1999-02-02,21.625000,21.812500,21.531250,21.625000,13.830162,26500
1999-02-03,21.750000,22.250000,21.750000,22.125000,14.149937,29400
1999-02-04,22.125000,22.312500,22.062500,22.250000,14.229880,26000
1999-02-05,22.312500,22.937500,22.187500,22.875000,14.629592,66000
1999-02-08,22.968750,23.187500,22.937500,23.187500,14.829453,31100
1999-02-09,23.218750,23.218750,22.750000,22.750000,14.549656,64300
1999-02-10,22.843750,23.062500,22.687500,22.812500,14.589627,69300
1999-02-11,22.718750,22.718750,22.281250,22.625000,14.469715,216800
1999-02-12,22.375000,22.625000,22.156250,22.156250,14.169923,242300
1999-02-16,22.328125,22.437500,21.781250,22.000000,14.069988,36600
1999-02-17,21.875000,22.093750,21.750000,21.781250,13.930093,41700
1999-02-18,21.750000,21.968750,21.531250,21.843750,13.970063,83000
1999-02-19,21.937500,21.968750,21.531250,21.718750,13.890127,130300
1999-02-22,21.875000,22.000000,21.687500,21.937500,14.030024,79500
1999-02-23,22.000000,22.093750,21.750000,21.750000,13.910108,309600
1999-02-24,21.812500,22.093750,21.656250,21.656250,13.850148,34500
1999-02-25,21.640625,21.906250,21.625000,21.765625,13.920099,44600
1999-02-26,21.843750,22.000000,21.625000,21.625000,13.830162,24900
1999-03-01,21.671875,21.687500,21.343750,21.406250,13.690260,13300
1999-03-02,21.437500,21.531250,21.093750,21.187500,13.550361,55100
1999-03-03,21.375000,21.750000,21.218750,21.656250,13.850148,103300
1999-03-04,21.843750,22.562500,21.843750,22.437500,14.349797,90400
1999-03-05,23.000000,23.031250,22.625000,22.859375,14.619596,92700
1999-03-08,22.984375,23.250000,22.890625,23.187500,14.829453,107600
1999-03-09,22.937500,23.312500,22.843750,22.937500,14.669570,79000
1999-03-10,23.031250,24.312500,23.031250,24.250000,15.508975,1733800
1999-03-11,25.000000,25.250000,24.250000,24.593750,15.728817,909000
1999-03-12,24.875000,25.062500,24.250000,24.500000,15.668860,604300
1999-03-15,24.562500,24.625000,24.015625,24.312500,15.548944,523000
1999-03-16,24.093750,24.312500,24.000000,24.187500,15.469004,273300
1999-03-17,24.312500,24.843750,24.250000,24.812500,15.868717,362800
1999-03-18,25.250000,25.312500,24.937500,25.125000,16.068577,332600
1999-03-19,25.250000,25.281250,24.625000,24.781250,15.905707,260400
1999-03-22,25.000000,25.125000,24.734375,24.937500,16.005993,165000
1999-03-23,24.750000,24.750000,24.250000,24.500000,15.725181,137900
1999-03-24,24.625000,24.718750,24.156250,24.375000,15.644956,61100
1999-03-25,24.312500,24.562500,24.062500,24.437500,15.685071,166500
1999-03-26,24.687500,24.875000,24.468750,24.750000,15.885644,44700
1999-03-29,25.375000,25.687500,25.343750,25.437500,16.326918,84400
1999-03-30,25.281250,25.312500,24.906250,24.968750,16.026051,60800
1999-03-31,25.156250,25.187500,24.593750,24.593750,15.785367,67000
1999-04-01,24.625000,24.656250,24.296875,24.562500,15.765296,22000
1999-04-05,24.562500,25.250000,24.562500,25.156250,16.146389,58400
1999-04-06,25.093750,25.125000,24.718750,24.906250,15.985930,42600
1999-04-07,24.875000,24.906250,24.468750,24.656250,15.825469,836400
1999-04-08,24.765625,25.187500,24.671875,24.906250,15.985930,852300
1999-04-09,24.921875,25.500000,24.890625,25.375000,16.286808,52400
1999-04-12,25.250000,25.750000,25.250000,25.562500,16.407139,62500
1999-04-13,25.406250,25.734375,25.406250,25.531250,16.387087,67800
1999-04-14,25.500000,25.656250,25.218750,25.218750,16.186506,27000
1999-04-15,25.375000,26.437500,25.375000,26.312500,16.888535,259400
1999-04-16,26.593750,27.156250,26.375000,27.140625,17.420053,88500
1999-04-19,27.875000,28.343750,27.437500,27.468750,17.630665,245500
1999-04-20,27.562500,27.562500,26.765625,27.031250,17.349852,386400
1999-04-21,26.875000,27.062500,26.375000,26.625000,17.089104,181200
