Date,Open,High,Low,Close,Adj Close,Volume
1998-07-22,19.770000,19.787001,19.514299,19.514299,11.436398,51633
1998-07-23,20.110701,20.110701,19.599701,19.770000,11.586254,93879
1998-07-24,19.429001,19.770000,19.088301,19.105301,11.196702,124977
1998-07-27,19.258699,19.344000,19.003000,19.003000,11.136749,152553
1998-07-28,18.934999,19.173300,18.577000,18.662300,10.937080,136710
1998-07-29,19.054001,19.054001,18.406700,18.577000,10.887090,164874
1998-07-30,18.508699,18.713301,18.491699,18.491699,10.837100,57501
1998-07-31,18.747299,19.429001,18.747299,18.491699,10.837100,44004
1998-08-03,18.917700,18.917700,18.065701,18.074301,10.592481,55740
1998-08-04,17.895300,18.236000,17.895300,18.236000,10.687247,52806
1998-08-05,18.065701,18.150999,16.958000,17.042999,9.988087,225309
1998-08-06,17.384001,17.895300,16.872700,17.213301,10.087892,251127
1998-08-07,17.554300,17.895300,16.872700,17.213301,10.087892,227658
1998-08-10,17.895300,18.798700,17.895300,18.534300,10.862066,475266
1998-08-11,18.577000,18.577000,18.167999,18.321301,10.737238,171330
1998-08-12,18.236000,18.577000,18.236000,18.406700,10.787286,217683
1998-08-13,18.261700,18.261700,18.065701,18.150999,10.637432,32856
1998-08-14,18.065701,18.236000,17.963301,18.099701,10.607368,85077
1998-08-17,17.895300,18.406700,17.724701,17.895300,10.487579,25815
1998-08-18,17.980301,18.065701,17.724701,17.886700,10.482539,144924
1998-08-19,17.895300,17.895300,17.639700,17.639700,10.337784,44004
1998-08-20,17.639700,17.707701,17.213301,17.213301,10.087892,59847
1998-08-21,16.872700,17.520300,16.702299,17.384001,10.187931,51633
1998-08-24,17.042999,17.213301,16.958000,17.213301,10.087892,22296
1998-08-25,17.213301,17.298700,17.128300,17.128300,10.038074,15840
1998-08-26,17.298700,17.298700,16.531700,16.531700,9.688437,237633
1998-08-27,16.702299,16.787300,16.020300,16.105700,9.438780,272838
1998-08-28,15.338700,15.407000,14.998000,16.105700,9.438780,183651
1998-08-31,14.912700,14.998000,14.589000,14.827300,8.689570,124389
1998-09-01,14.401300,14.827300,14.282000,14.742300,8.639755,159006
1998-09-02,14.912700,14.998000,14.572000,14.657000,8.589767,100920
1998-09-03,14.486700,14.486700,13.975300,13.975300,8.190254,51633
1998-09-04,13.975300,14.623000,13.856000,13.975300,8.190254,107373
1998-09-07,15.168300,15.424000,14.998000,15.083000,8.839424,107961
1998-09-08,15.253700,15.338700,15.168300,15.338700,8.989279,54567
1998-09-09,15.509300,16.191000,15.509300,15.935300,9.338918,200667
1998-09-10,15.850000,15.935300,15.594300,15.850000,9.288926,166635
1998-09-11,15.424000,15.679700,15.424000,15.850000,9.288926,103854
1998-09-14,15.713700,15.713700,15.338700,15.509300,9.089258,35790
1998-09-15,15.338700,15.364300,15.083000,15.083000,8.839424,129669
1998-09-16,15.338700,15.338700,14.657000,14.827300,8.689570,51045
1998-09-17,14.827300,15.117300,14.657000,14.989300,8.784511,107961
1998-09-18,14.742300,14.827300,14.742300,14.989300,8.784511,26403
1998-09-21,14.742300,14.827300,14.572000,14.827300,8.689570,220029
1998-09-22,14.785000,14.998000,14.742300,14.742300,8.639755,17601
1998-09-23,14.827300,14.827300,14.742300,14.742300,8.639755,62193
1998-09-24,13.805000,13.805000,13.805000,13.890000,8.140265,2346
1998-09-25,13.805000,13.805000,13.293700,13.890000,8.140265,119109
1998-09-28,13.464000,13.464000,13.123000,13.464000,7.890604,109722
1998-09-29,13.634300,14.742300,13.464000,14.060700,8.240306,234111
1998-09-30,13.975300,14.981000,13.907000,14.981000,8.779647,108546
1998-10-01,14.145700,14.145700,13.634300,13.719700,8.040461,271077
1998-10-02,14.231000,14.231000,12.782300,12.952700,7.590957,264621
1998-10-05,12.441300,12.782300,11.930000,12.015300,7.041592,221202
1998-10-06,12.330700,12.330700,11.742700,11.836300,6.936687,213576
1998-10-07,11.759700,11.759700,10.396300,10.566700,6.192637,283398
1998-10-08,10.822300,10.907700,9.544000,10.243000,6.002933,254649
1998-10-09,10.566700,11.470000,10.566700,11.470000,6.722018,126150
1998-10-12,11.589300,12.015300,11.589300,11.759700,6.891798,49284
1998-10-13,11.930000,12.100700,11.759700,11.845000,6.941789,117936
1998-10-14,12.083700,12.637300,12.015300,12.612000,7.391290,212988
1998-10-15,12.782300,13.055000,12.782300,12.782300,7.491094,249954
1998-10-16,12.697000,13.208300,12.697000,13.038000,7.640946,96870
1998-10-19,12.799300,13.634300,12.799300,13.515300,7.920671,129729
1998-10-20,13.464000,14.145700,13.378700,13.430000,7.870680,147612
1998-10-21,13.293700,13.549300,13.123000,13.293700,7.790802,89220
1998-10-22,13.208300,13.430000,12.918700,12.918700,7.571034,78915
1998-10-23,12.988700,12.988700,12.765300,12.825000,7.516119,162879
1998-10-26,12.901700,13.464000,12.901700,13.254300,7.767712,24771
1998-10-27,13.464000,13.464000,13.208300,13.208300,7.740752,66501
1998-10-28,13.123000,13.123000,12.612000,12.612000,7.391290,88599
1998-10-29,12.782300,13.038000,12.697000,12.952700,7.590957,176610
1998-10-30,12.867700,13.123000,12.782300,12.952700,7.590957,183099
1998-11-02,12.952700,13.772700,12.952700,13.772700,8.071519,160884
1998-11-03,13.805000,14.401300,13.378700,13.772700,8.071519,166401
1998-11-04,14.145700,15.509300,13.975300,15.338700,8.989279,171330
1998-11-05,15.338700,16.191000,15.338700,15.679700,9.189120,342954
1998-11-06,15.691700,16.361300,15.691700,15.679700,9.189120,636444
1998-11-09,16.125999,16.157000,14.827300,14.912700,8.739620,317136
1998-11-10,14.837700,14.912700,14.486700,14.827300,8.689570,70995
1998-11-11,14.998000,14.998000,14.520700,14.657000,8.589767,103854
1998-11-12,14.498700,15.338700,14.486700,15.338700,8.989279,236166
1998-11-13,15.338700,16.361300,15.338700,16.191000,9.488770,454788
1998-11-16,16.191000,16.958000,16.191000,16.949301,9.933173,909138
