Date,Open,High,Low,Close,Adj Close,Volume
2006-11-20,6.200000,6.260000,6.100000,6.150000,5.977601,115716
2006-11-21,6.110000,6.220000,6.050000,6.220000,6.045638,151647
2006-11-22,6.160000,6.230000,6.110000,6.230000,6.055358,508939
2006-11-23,6.450000,6.530000,6.370000,6.530000,6.346949,616232
2006-11-24,6.540000,6.570000,6.460000,6.530000,6.346949,429147
2006-11-27,6.550000,6.550000,6.100000,6.400000,6.220592,366328
2006-11-28,6.310000,6.440000,6.210000,6.410000,6.230312,191819
2006-11-29,6.450000,7.200000,6.450000,7.020000,6.823212,904794
2006-11-30,7.120000,7.120000,6.680000,6.780000,6.589941,364543
2006-12-01,6.840000,7.070000,6.780000,7.010000,6.813493,319456
2006-12-04,7.150000,7.400000,7.060000,7.350000,7.143962,471012
2006-12-05,7.410000,7.940000,7.410000,7.550000,7.338356,805163
2006-12-06,7.700000,8.010000,7.600000,8.010000,7.785460,687811
2006-12-07,8.230000,8.450000,7.690000,8.000000,7.775741,1071263
2006-12-08,7.880000,7.980000,7.620000,7.820000,7.600787,607120
2006-12-11,7.880000,7.880000,7.660000,7.700000,7.484150,325785
2006-12-12,7.660000,7.850000,7.660000,7.760000,7.542469,355139
2006-12-13,7.750000,8.000000,7.740000,7.960000,7.736862,381987
2006-12-14,7.890000,8.000000,7.760000,7.800000,7.581347,295664
2006-12-15,7.850000,8.000000,7.800000,7.850000,7.629945,417365
2006-12-18,8.000000,8.100000,7.900000,7.950000,7.727142,312568
2006-12-19,7.970000,8.000000,7.300000,7.660000,7.445271,560784
2006-12-20,7.720000,7.820000,7.670000,7.760000,7.542469,217480
2006-12-21,7.780000,7.880000,7.700000,7.820000,7.600787,272527
2006-12-22,7.840000,7.880000,7.760000,7.830000,7.610507,78072
2006-12-27,7.830000,7.890000,7.830000,7.880000,7.659105,111503
2006-12-28,7.890000,7.890000,7.740000,7.880000,7.659105,155465
2006-12-29,7.800000,7.870000,7.790000,7.850000,7.629945,145384
2007-01-02,7.900000,8.350000,7.860000,8.280000,8.047892,422277
2007-01-03,8.370000,8.480000,8.210000,8.420000,8.183968,729734
2007-01-04,8.320000,8.320000,8.120000,8.180000,7.950696,166132
2007-01-05,8.130000,8.290000,8.120000,8.230000,7.999292,121262
2007-01-08,8.330000,8.330000,8.190000,8.250000,8.018732,184942
2007-01-09,8.300000,8.420000,8.220000,8.260000,8.028453,253647
2007-01-10,8.250000,8.330000,8.090000,8.290000,8.057611,322810
2007-01-11,8.280000,8.780000,8.160000,8.550000,8.310322,351345
2007-01-12,8.550000,8.700000,8.520000,8.560000,8.320043,426537
2007-01-15,8.740000,8.750000,8.600000,8.630000,8.388081,259418
2007-01-16,8.630000,8.730000,8.210000,8.730000,8.485277,658606
2007-01-17,8.710000,8.710000,8.440000,8.620000,8.378361,430613
2007-01-18,8.600000,8.730000,8.600000,8.680000,8.436680,237629
2007-01-19,8.670000,8.670000,8.360000,8.490000,8.252005,539742
2007-01-22,8.470000,8.580000,8.400000,8.440000,8.203406,284028
2007-01-23,8.440000,8.440000,7.680000,8.100000,7.872938,1130792
2007-01-24,8.190000,8.590000,8.110000,8.540000,8.300603,518623
2007-01-25,8.700000,8.840000,8.600000,8.720000,8.475557,456147
2007-01-26,8.600000,8.650000,8.500000,8.600000,8.358922,447542
2007-01-29,8.290000,8.680000,8.160000,8.450000,8.213125,551911
2007-01-30,8.530000,8.680000,8.230000,8.250000,8.018732,476807
2007-01-31,8.280000,8.530000,8.190000,8.480000,8.242285,471637
2007-02-01,8.550000,8.650000,8.360000,8.480000,8.242285,716462
2007-02-02,8.490000,8.660000,8.450000,8.600000,8.358922,377928
2007-02-05,8.620000,8.640000,8.410000,8.500000,8.261724,223704
2007-02-06,8.420000,8.500000,8.360000,8.500000,8.261724,253606
2007-02-07,8.490000,8.620000,8.400000,8.540000,8.300603,230952
2007-02-08,8.550000,8.550000,8.330000,8.380000,8.145087,209072
2007-02-09,8.300000,8.580000,8.300000,8.500000,8.261724,338065
2007-02-12,8.380000,8.580000,8.350000,8.440000,8.203406,114457
2007-02-13,8.440000,8.500000,8.320000,8.410000,8.174246,170364
2007-02-14,8.400000,8.620000,8.380000,8.520000,8.281165,1047219
2007-02-15,8.510000,8.580000,8.420000,8.490000,8.252005,164448
2007-02-16,8.500000,8.570000,8.370000,8.500000,8.261724,241242
2007-02-19,8.400000,8.700000,8.400000,8.700000,8.456118,379415
2007-02-20,8.730000,8.860000,8.520000,8.590000,8.349201,232647
2007-02-21,8.690000,9.140000,8.650000,8.980000,8.728269,671943
2007-02-22,9.050000,9.350000,9.050000,9.230000,8.971260,357369
2007-02-23,9.250000,9.250000,8.920000,9.000000,8.747708,492521
2007-02-26,9.000000,9.180000,9.000000,9.050000,8.796307,194488
2007-02-27,8.990000,8.990000,8.300000,8.500000,8.261724,840882
2007-02-28,7.900000,8.160000,7.110000,7.950000,7.727142,1894611
2007-03-01,8.170000,8.400000,7.810000,7.950000,7.727142,833416
2007-03-02,7.950000,8.090000,7.560000,7.700000,7.484150,805161
2007-03-05,7.150000,7.400000,6.900000,7.250000,7.046765,986263
2007-03-06,7.600000,8.200000,7.450000,7.450000,7.241158,1656072
2007-03-07,7.700000,7.910000,7.650000,7.750000,7.532749,453631
2007-03-08,8.090000,8.350000,7.940000,8.350000,8.115930,470083
2007-03-09,8.450000,8.610000,8.200000,8.590000,8.349201,669013
2007-03-12,8.690000,8.740000,8.410000,8.500000,8.261724,325762
2007-03-13,8.700000,8.700000,8.000000,8.200000,7.970134,588240
2007-03-14,7.750000,8.030000,7.500000,7.810000,7.591067,843612
2007-03-15,8.190000,8.270000,7.990000,8.080000,7.853498,352260
2007-03-16,7.950000,8.080000,7.890000,7.950000,7.727142,312215
2007-03-19,8.040000,8.060000,7.910000,8.000000,7.775741,341849
2007-03-20,8.050000,8.090000,7.880000,7.970000,7.746582,442604
2007-03-21,8.030000,8.200000,8.000000,8.180000,7.950696,280748
2007-03-22,8.280000,8.460000,8.000000,8.040000,7.814620,603125
2007-03-23,8.020000,8.140000,7.750000,8.000000,7.775741,715654
2007-03-26,7.990000,8.040000,7.860000,7.930000,7.707703,255107
2007-03-27,7.880000,8.020000,7.880000,7.940000,7.717422,184411
2007-03-28,7.900000,8.040000,7.600000,7.830000,7.610507,1026026
